标题,时间,来源,正文,作者,评论数
中国一项研究揭示单个埃博拉病毒入侵细胞动态过程,2020-06-27,新华网,原标题：中国一项研究揭示单个埃博拉病毒入侵细胞动态过程 新华社武汉6月27日电（记者谭元斌）中国科研人员利用单颗粒力示踪等技术，实时揭示了单个埃博拉病毒入侵细胞的动态过程和动力学机制。相关发现对于深入理解埃博拉病毒的感染机理具有重要意义，也为开发抗病毒途径提供了重要参考。 埃博拉病毒是对人类最致命的病原体之一，病毒感染引起严重出血热，致死率可达90%。中国科学院武汉病毒研究所崔宗强研究员与长春工业大学单玉萍教授、国家纳米科学中心施兴华研究员合作开展了单个埃博拉病毒入侵细胞相关研究。 研究人员首先构建了丝状埃博拉病毒样颗粒并对其进行荧光标记。该丝状埃博拉病毒样颗粒和野生型埃博拉病毒具有同样的入侵能力，但其内部没有病毒核酸，不能复制。利用单颗粒力示踪、动力学模拟和单颗粒荧光示踪等技术，研究人员示踪了单个埃博拉病毒样颗粒入侵细胞动态过程，并解析了其动态机制。 该研究揭示了丝状埃博拉病毒样颗粒以水平或垂直两种模式进入细胞，以及对应的时空、能量、与受体作用方式、入侵途径等精细机制，可视化地证实了丝状埃博拉病毒样颗粒以巨胞饮途径入侵细胞。 目前，相关研究成果已在线发表于国际学术期刊《美国化学会·纳米》。 （本文来自于新华网）,祝加贝 ,559
暴雨天气持续 贵州省启动防汛Ⅳ级应急响应,2020-06-27,央视,原标题：暴雨天气持续 贵州省启动防汛Ⅳ级应急响应 贵州省气象台27日继续发布暴雨预报：预计今天（27日）夜间到明天（28日）白天，贵州省的北部地区阴天间多云有阵雨或雷雨，雨量一般中雨，其中，毕节市东部、贵阳市北部、黔南州北部、遵义市大部、铜仁市北部局地有大雨或暴雨，部分乡镇有大暴雨，其余地区多云有分散阵雨或雷雨。 28日夜间到29日白天，贵州省的中部及以北地区阴天间多云有阵雨或雷雨，雨量一般中雨，局地大到暴雨，部分乡镇大暴雨，其余地区多云有分散阵雨或雷雨。 29日夜间到30日白天，贵州省的北部边缘多云，其余地区阴天间多云有阵雨或雷雨，贵州省的中部及以南地区雨量一般中雨，局地大到暴雨，部分乡镇有大暴雨，个别乡镇有特大暴雨。 为做好强降雨防范应对工作，贵州省防汛抗旱指挥部已于6月26日18时启动防汛Ⅳ级应急响应。省防汛抗旱指挥部要求各地各有关部门要密切监视雨情发展变化，及时发布预警信息和安全提示，适时启动本地区本部门防汛应急响应，要具体抓好响应各项措施的落实，特别是要调度督查受影响地区乡、村、组、户响应措施落实，层层压实防汛责任，落实防汛物资，提前规划好转移避险路线，出现险情及时组织群众转移避险，严密防范强降雨过程可能引发的自然灾害和生产安全事故，严防出现较大人员伤亡失踪事件。（总台央视记者 杨晓东）,祝加贝 ,0
四川灞州镇发生山体高位崩塌 已转移19户69人,2020-06-27,央视,原标题：四川灞州镇发生山体高位崩塌 已转移19户69人 受连日降雨影响，6月26日下午6：20左右，四川阿坝州汶川县灞州镇垮坡村沟金湾1处山体发生高位崩塌，垮塌体方量约10000方。 垮坡村一组组长余友俊是当地的专职地灾监测员，他在前几天在巡查中就发现沟金湾山体地质结构有变化，并立即将情况进行了上报，灞州镇第一时间制定了疏散措施，并要求村上24小时轮班检测，山体崩塌发生后，监测人员第一时间录制了视频作为资料保存。 由于该垮塌体距离群众集中居住的垮坡羌寨达2公里，距离沟口联合村两河口达3公里，周边没有群众居住，故无农房受损；当时也没有群众在附近从事生产，故也无人员伤亡；垮塌体仅侵占了垮坡沟部分沟道，未形成堰塞湖，没有影响到当地老百姓的正常出行。 灞州镇人民政府已疏散转移下游联合村两河口可能受威胁的村民19户69人；在联合村两河口设置警戒线，禁止人员进入危险区域；灞州镇人民政府已在现场对岸设置观察员，继续监测垮塌和沟道堵塞情况。 总台央视记者从汶川县自然资源局获悉，汶川县凡是交通主干道以及人群居住比较集中的地方，都进行了地质灾害大环境的评估，有隐患的道路、居民居住点都进行了大规模的地灾治理。 从4月开始，汶川县689名地质灾害监测员全员上岗，进行巡逻监测。一旦地质结构发生变化，应急系统会第一时间给信号，他们就会获取到预警信息，最大限度减少或降低地质灾害、保护广大人民群众的生命财产安全。（总台央视记者 张力 王飞）,祝加贝 ,12
华为10亿英镑项目刚落地 美国“关切”就到了,2020-06-27,环球网,原标题：华为10亿英镑项目刚落地，美国“关切”就到了 英国南剑桥郡区议会25日批准了华为价值10亿英镑的芯片研发与制造设施的建设——即华为海外光电子业务总部建设，而之后的不到24小时，美国就急迫地发出“关切”，再度污蔑华为“受制于政府”、是“不受信任的公司”。 据美国消费者新闻与商业频道（CNBC）26日消息，在华为这一设施当天获得批准后不到24小时，美国国务院就发布了一份新声明，并威胁称，“我们敦促所有国家，特别是像英国这样的美国盟国与伙伴，谨慎评估允许华为等不受信任的公司接触敏感信息的长期影响。” CNBC报道：英国批准华为价值10亿英镑的芯片研发设施建设后，美国就华为发出了新的警告 该声明进一步声称，“我们认为，各国需要不会威胁国家安全、隐私、知识产权或人权的可信任的合作伙伴”，并无端指责道，华为“受制于中国政府，信任不可能存在。” 一段时间以来，美国常常借抹黑污蔑华为，游说盟友拒绝华为参与本国电信基础设施建设。中国外交部发言人就曾强调，美方一段时间以来在拿不出任何证据的情况下，泛化国家安全概念，滥用国家力量，无理打压特定中国企业，对别国的5G网络建设互利合作指手画脚，赤裸裸地强拉甚至威胁其他国家要采取与美一致的立场。这种经济霸凌行径是对美方自己一贯标榜的市场经济原则的公然否定，严重损害美国自身信誉和形象，也将损害美国企业的利益。 “我们敦促美方停止泛化国家安全的错误做法，停止对中国的抹黑和指责，停止对中国企业的无理打压。美方污蔑中国、打压中国企业的真实意图是什么，我相信任何秉持客观公正立场的国家都看得清清楚楚，明明白白。” 华为公司25日宣布，该公司在英国剑桥的园区项目第一期规划已获得当地政府批准，相关设施将主要用于光电子的研发与制造。据华为介绍，华为剑桥园区位于高科技企业云集的英国剑桥“硅沼泽”腹地。一期规划用地9英亩（约合3.6公顷），设施建筑面积达50000平方米，投资规模预计为10亿英镑（约合12亿美元），带来400多个工作岗位，落成后将成为华为海外光电子业务总部。据介绍，华为目前在英国有1600名员工，并且为英国所有大型移动网络和宽带网络服务提供商供应网络设备。,张建利 ,2810
北京通报病例情况，有句话出现十多次,2020-06-27,环球网,原标题：北京通报病例情况，有句话出现十多次 6月26日0时至24时，北京市新增新冠肺炎确诊病例17例，其中一例曾两次到新发地采购，还前往某公司面试。 6月27日下午，北京召开新冠肺炎疫情防控第134场例行新闻发布会。北京市疾控中心副主任庞星火在会上就北京市6月26日新增确诊病例的相关情况进行通报。 庞星火介绍，6月26日0时至24时，北京市新增新冠肺炎确诊病例17例。其中男性11例，女性6例；平均年龄40岁，最小23岁，最大55岁。按居住地划分，丰台区15例，大兴区2例。已完成16例确诊病例流行病学调查，1例正在调查中。据庞星火通报，丰台区15例均与新发地市场相关，丰台区花乡经营者乐园、新发地商户乐园、天伦锦城、宜兰园、天骄骏园、新村街道银地家园、青秀城等社区。具体情况如下： 病例1，女，38岁，住址为丰台区花乡天伦锦城，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，6月26日确诊，临床分型为普通型。 病例2，男，51岁，住址为丰台区花乡，经营者乐园，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院，26日确诊，临床分型为普通型。 病例3，女，51岁，住址为丰台区花乡经营者乐园，新发地市场个体经营人员，6月12日由专车转运至集中医学观察点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院，26日确诊，临床分型为普通型。 病例4，女，49岁，住址为丰台区花乡天伦锦城，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院，26日确诊，临床分型为普通型。 病例5，女，46岁，住址为丰台区花乡，新发地商户乐园，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，26日确诊，临床分型为普通型。 病例6，男，43岁，住址为丰台区花乡天伦锦城，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院，26日确诊，临床分型为普通型。 病例7，男，29岁，住址为丰台区花乡经营者乐园，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，26日确诊，临床分型为普通型。 病例8，女，55岁，住址为丰台区花乡宜兰园，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车送至丰台中西医结合医院，26日确诊，临床分型为普通型。 病例9，男，30岁，住址为丰台区花乡经营者乐园，新发地市场销售人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，26日确诊，临床分型为普通型。 病例10，男，27岁，住址为丰台区花乡，天骄俊园，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日因咽部不适，核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院，26日确诊，临床分型为普通型。 病例11，男，23岁，住址为丰台区花乡天伦锦城，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，陆续出现发热、咽干、咳嗽等症状，由120救护车转运至丰台中西医结合医院就诊，26日确诊，临床分型为普通型。 病例12，男，29岁，住址为丰台区花乡宜兰园，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，26日确诊，临床分型为普通型。 病例13，女，55岁，住址为丰台区花乡经营者乐园，新发地市场个体经营人员，6月12日由专车转运至集中隔离点进行集中医学观察，6月24日核酸检测结果为阳性，由120救护车转运至丰台中西医结合医院就诊，26日确诊，临床分型为普通型。 病例14，男，50岁，住址为丰台区新村街道银地家园，新发地市场个体经营人员，6月15日由专车转运至集中隔离点，进行集中医学观察，26日核酸检测结果为阳性，当日确诊，临床分型为普通型。 病例15，男，29岁，住址为丰台区新村街道清秀城，工作单位为精工时尚创业园某科技工作，曾两次到新发地市场采购，6月9日至12日在公司上班，期间曾到宝龙大厦某公司参加面试，6月26日确诊，临床分型为轻型。 病例16，男，25岁，住址为大兴区西红门镇西红门路，其多名同事和家人有新发地接触史，6月19日前往大兴区政务服务大厅住地附近办事，6月21日曾到房山区长阳镇同事家中就餐，并在该小区超市购物，6月23日起陆续出现乏力、腹泻等症状，自行服药未好转，6月25日出现发热自行前往大兴区人民医院就诊，核酸检测结果为阳性，26日确诊，临床分型为普通型。 上述病例1到14均为新发地市场牛羊肉综合交易大厅的经营销售人员，下面补充通报6月25日确诊的一例病例情况： 男，62岁，住址为昌平区回龙观街道龙城北街6号院，已退休，6月10日曾陪黑龙江来京亲属在北京大学人民医院就诊，6月13日出现发热症状，6月14日自行到积水潭医院回龙观院区就诊，核酸和抗体检测结果均为阴性，6月16日居家未外出。核酸和抗体检测均为阴性，6月18日至6月24日期间到北京大学人民医院和回龙观社区卫生服务中心就诊，6月25日核酸检测为阳性，当日确诊，临床分型为普通型。 北京市疾控：市民如有发热、咽痛等症状 建议不要自行服药 6月27日，北京市新冠肺炎疫情防控工作新闻发布会第134场召开，北京青年报记者从现场现场获悉，北京市疾控中心副主任庞星火提醒说，端午假期即将结束，提醒市民朋友不聚集、不聚餐，进入密闭场所要戴好口罩，做好日常防护，如有发热、咽痛、干咳等症状，要及时到就近发热门诊就诊，不要到不具备条件的地方就诊治疗，不要自行服药，以耽误疫情或疾病的传播。 北京：将加强核酸检测的价格管理 完善检测项目价格政策 6月27日，北京市新冠肺炎疫情防控工作新闻发布会第134场召开，北京青年报记者从现场了解到，据北京市委宣传部副部长徐和建介绍，北京还将做好对重点人群、重点行业核酸检测的应检尽检，全力排查风险隐患，并加快落实提升检测能力所需的人员设备和资金，下一步将加强核酸检测的价格管理和引导，完善检测项目价格政策，做好医保支付工作。,刘德宾 SN222,56
徐悲鸿入室弟子、敦煌研究学者万庚育逝世 享年99岁,2020-06-27,新浪新闻综合,原标题：徐悲鸿入室弟子、敦煌研究学者万庚育逝世 享年99岁 来源：北京青年报 敦煌研究院美术研究所原研究馆员万庚育因病医治无效，于2020年6月24日上午10时在兰州逝世，享年99岁。万庚育的遗体于6月26日上午7时30分在兰州市华林山殡仪馆火化，应其家属要求，丧事从简，不收受花圈、挽幛和礼金。疫情期间，不举行遗体吿別仪式。 万庚育，生于1922年，湖北黄陂人，1942年就读于国立中央大学艺术系油画专业，师从徐悲鸿先生，1946年8月到北平国立艺术专科学校任教，1954年经由中央文化部推荐到敦煌文物研究所工作。她从事敦煌艺术临摹、研究和弘扬工作60余年，取得了卓越的成就，为我国在敦煌艺术临摹、研究领域的最高水平的画家之一，受到了国内外美术界、敦煌学界的高度评价和赞扬。 万庚育被分配到敦煌艺术研究所美术组工作后，重要工作是临摹和研究。她花几年时间，终于为380多个洞窟建立了完整科学的档案，这是一项了不起的工作，整理的档案堆成了小山，至今她整理编撰的石窟保护档案还保存在敦煌研究院的资料室里。同时，万庚育先生独著和参与编写了十多部研究、介绍敦煌艺术的图书。 万庚育另一件为人称道的事是发现了一批北周洞窟，张大千当年在莫高窟时，认定气势宏大的428窟是北魏时建造的，但细心的万庚育在为洞窟建立档案时，在428窟模糊不清的壁画上发现了“晋昌郡沙门比丘庆仙供养”的字样。她眼前一亮，感觉张大千的认定一定有错误。她执着地研究寻找，最后终于在浩如烟海的敦煌遗书中查出了有关“庆仙”的记载，发现北周时代沙门庆仙的写经，证明了庆仙是北周人。她这一开创性的发现，将428窟从北魏洞窟中分离了出来，然后依此类推，又分辨出了15个北周洞窟，当时这在敦煌学界轰动一时。 2000年 ，敦煌发现100周年纪念活动的时候，万庚育在兰州“大敦煌艺术馆”举办了自己的第一次个人画展，展出了一百余幅敦煌临摹，这些画都是万庚育在退休之后画的。这次画展，参观者如云，引起了很大轰动。画展现场，有人提出要买画，但万庚育仍然一幅都不卖。她说：“我办画展是为了宣传敦煌的，不是为了卖钱。” 2017年8月，甘肃省委、省政府授予万庚育先生敦煌文艺终生成就奖。 文/北京青年报记者 王岩,祝加贝 ,0
香港新增1例新冠肺炎确诊病例,2020-06-27,新华网,原标题：香港新增1例新冠肺炎确诊病例 新华社香港6月27日电（记者周文其）香港特区政府卫生署卫生防护中心27日介绍，截至当日下午4时，香港新增1例新冠肺炎确诊病例，为输入个案。香港累计报告新冠肺炎确诊病例1197例。 当日新增的确诊病例是一名39岁女子。该女子在病毒潜伏期内有到访外地的记录。卫生防护中心正继续跟进确诊病例的流行病学调查及接触者追踪的工作。 卫生防护中心发言人说，鉴于全球各地的疫情仍然非常严峻，各地个案数字不断上升，市民应避免所有非必要的外游计划。 （本文来自于新华网）,祝加贝 ,0
北京：昌平区25日确诊病例曾到这三家医疗机构就诊,2020-06-27,新浪新闻综合,原标题：北京：昌平区25日确诊病例曾到这三家医疗机构就诊 来源：北京头条客户端 6月27日，北京市新冠肺炎疫情防控工作新闻发布会第134场召开，北京青年报记者了解到，北京市疾控中心副主任庞星火补充通报6月25日确诊的1例病例情况，男，62岁，住址为昌平区回龙观街道龙域北街6号院，已退休。 6月10日曾陪黑龙江来京亲属在北京大学人民医院就诊，6月13日出现发热症状，6月14日自行到积水潭医院回龙观院区就诊，核酸和抗体检测结果均为阴性；6月16日居家未外出；6月17日自行到北京大学人民医院就诊，核酸和抗体检测结果均为阴性；6月18日至6月24日期间到北京大学人民医院和回龙观社区卫生服务中心就诊；6月25日核酸检测结果为阳性，当日确诊，临床分型为普通型。,祝加贝 ,0
一图读懂27日北京疫情发布会要点！,2020-06-27,新浪新闻综合,原标题：一图读懂27日北京疫情发布会要点！ 来源：北京青年报,祝加贝 ,5
北京26日新增病例活动轨迹公布！涉及这些地方！,2020-06-27,新浪新闻综合,原标题：北京26日新增病例活动轨迹公布！涉及这些地方！ 来源：北京青年报 6月26日0时至24时，本市市新增新冠肺炎确诊病例17例，已完成16例确诊病例流行病学调查，1例正在调查中。北京青年报记者对这16个已完成流调的病例其工作单位、居住地点以及活动轨迹进行了梳理，所涉及的场所包括： 1、新发地市场 2、丰台区花乡（地区）经营者乐园 3、丰台区花乡（地区）天伦锦城 4、丰台区花乡（地区）新发地商户乐园 5、丰台区花乡（地区）宜兰园 6、丰台区花乡（地区）天骄俊园 7、丰台区新村街道银地家园 8、丰台区新村街道青秀城 9、精工时尚创业园某科技公司 10、精工时尚创业园华联超市、福德林餐厅 11、宝龙大厦某公司 12、大兴区西红门（地区）镇西红门路 13、大兴区西红门（地区）镇西红门路附近的瑞兆图文 14、大兴区政务服务大厅 15、房山区长阳镇 16、房山区长阳镇一超市 （北京青年报记者 解丽 李泽伟 林艳）,祝加贝 ,110
北京26日新增17例确诊病例曾到这些医院就诊！,2020-06-27,新浪新闻综合,原标题：北京昨新增17例确诊病例曾到这些医院就诊！ 来源：北京头条客户端 6月27日，北京市新冠肺炎疫情防控工作新闻发布会第134场召开，北京青年报记者了解到，北京市疾控中心副主任庞星火介绍，6月26日0时至24时，本市新增新冠肺炎确诊病例17例。这些病例，曾到丰台区中西医结合医院、大兴区人民医院就诊。,祝加贝 ,1
港警献血反受辱，香港医管局道歉,2020-06-27,观察者网,原标题：港警献血反受辱，香港医管局道歉 （观察者网 讯）受新冠疫情影响，香港血库存量告急。近期，香港警方参加在九龙湾辅警总部举行的献血活动，不料却在献血站现场遭受公开仇警侮辱。事后，负责献血的香港红十字会虽然道歉，但只以“误会”形容该事件。香港医管局和食物及卫生局也随后跟进，表达歉意的同时，也称将“严肃跟进”。 据《星岛日报》26日报道，本月23日上午，香港红十字会流动献血队在九龙湾辅警总部设立献血站。大约100多名警员前往现场献血，其中大部分是正规警员，分别来自机动部队、总区应变大队第三梯队等，也有部分为辅警。不料，活动开始不久即发生风波。 有港警发现，其中一名女抽血员的身上，佩戴多种黑暴饰物，其中包括有侮辱抹黑香港警察符号的锁匙扣牌等。由于事件引起在场献血警员的不安和反感，一名警司当场向红会带队主管反映情况，并要求提供该职员的姓名，但被红会主管拒绝。最后，这名警司决定停止警员献血活动，并要求红会职员收拾东西离开。 事件发生以后，辅警总部向红十字会发出投诉信，决定暂时不允许红十字会到总部进行献血活动，警队人事部25日也发出通告称，一名输血服务中心职员行为操守令警员质疑，与输血服务中心主管沟通后，并评估活动继续之可能风险，辅警总部决定实时暂停有关活动。 警方发言人也证实了这一事件，称因1名输血服务中心职员的行为操守令在场警务人员有所顾虑。发言人表示，警队一直支持输血服务中心的活动，从前也不时安排红会到警队各单位举办献血活动。警方相信本次只是个别事件，将会进一步与输血服务中心会沟通，并期望日后能继续合作。 香港红十字会回应称，旗下输血服务中心一名员工服务态度不理想，导致部分献血人士不安，中心职员已经即时处理，其后活动单位经商议后决定暂停活动，中心对此次事件引起的误会致歉。 议员葛珮帆也质疑相关人士将个人政治立场带到工作岗位，既展示政治标语，又佩戴具政治立场饰物，不礼貌对待持不同政见的人士，此风不可长，已去信有关部门及中心要求严肃处理。 26日，医管局和食物及卫生局也对此致歉。管辖输血服务中心的医院管理局发稿回应称，局方已接获投诉当日一名员工有不恰当行为，令在场献血人士感到不安，局方对事件感到遗憾，并就事件致歉。 医管局还表示，中心已就活动安排展开调查，重申公立医院医护人员必须恪守一视同仁原则，为市民提供专业服务。假如调查确定有员工的行为有欠专业，会按医院管理局人力资源程序严肃跟进。 食物及卫生局也对有输血服务中心职员行为有欠专业表示遗憾，强调医护人员必须时刻恪守一视同仁的原则，以专业态度提供服务。该局又特别提到，纪律部队人员多年来一直十分支持和积极参与中心举办的捐血活动，期望这次个别事件不会影响血液收集活动。,祝加贝 ,657
蚊蝇增多是否会传播新冠病毒？官方回应来了,2020-06-27,环球网,原标题：蚊蝇增多是否会传播新冠病毒？官方回应来了 来源：北京青年报 6月27日，北京市召开第134场新冠肺炎疫情防控新闻发布会。北京青年报记者在会上获悉，据中国疾控中心研究员王丽萍介绍，夏季蚊蝇增多，但蚊蝇不具备传播新冠病毒的生物学基础。 中国疾控中心：全球目前未发现因蚊蝇等媒介生物致人感染新冠病毒报道 不具备传播新冠病毒的生物学基础 6月27日下午，北京召开新冠肺炎疫情防控第134场例行新闻发布会。在会上，中国疾病预防控制中心研究员王丽萍在回答记者提问时提到，全球目前没有发现因蚊蝇等媒介生物致人感染新冠病毒报道，不具备传播新冠病毒的生物学基础，但具有传播疟疾、登革热等疾病的风险。,祝加贝 ,1340
专家：短时间接触快递被感染的几率很低,2020-06-27,北京日报客户端,原标题：专家：短时间接触快递被感染的几率很低 27日下午，在北京市新型冠状病毒肺炎疫情防控工作第134场新闻发布会上，中国疾病预防控制中心研究员王丽萍表示，通过短时间的接触快递被感染的几率很低。,祝加贝 ,3001
北京一例2次核酸及抗体检测阴性后确诊,2020-06-27,人民日报,原标题：北京一例2次核酸及抗体检测阴性后确诊 6月27日，北京召开第134场新冠肺炎疫情防控工作新闻发布会。北京市疾病预防控制中心副主任庞星火介绍，6月26日，北京新增新冠肺炎确诊病例17例。其中，一病例两次核酸及抗体检测为阴性后确诊。（人民日报记者王昊男）,祝加贝 ,156
北京通报昌平病例流调情况，确诊前曾到多家医院就诊,2020-06-27,北京日报客户端,原标题：北京通报昌平病例流调情况，确诊前曾到多家医院就诊 27日下午，在北京市新型冠状病毒肺炎疫情防控工作第134场新闻发布会上，北京市疾控预防控制中心副主任庞星火补充通报6月25日确诊的1例病例情况： 男，62岁，住址为昌平区回龙观街道龙域北街6号院，已退休。6月10日曾陪黑龙江来京亲属在北京大学人民医院就诊，6月13日出现发热症状，6月14日自行到积水潭医院回龙观院区就诊，核酸和抗体检测结果均为阴性；6月16日居家未外出；6月17日自行到北京大学人民医院就诊，核酸和抗体检测结果均为阴性；6月18日至6月24日期间到北京大学人民医院和回龙观社区卫生服务中心就诊；6月25日核酸检测结果为阳性，当日确诊，临床分型为普通型。,祝加贝 ,3164
北京将做好核酸检测医保支付工作,2020-06-27,人民日报,原标题：北京将做好核酸检测医保支付工作 6月27日，北京市政府新闻发言人徐和建介绍：北京将加强核酸检测的价格管理，完善检测项目价格政策，做好医保支付工作。,祝加贝 ,0
北京将做好核酸检测医保支付工作,2020-06-27,人民日报,原标题：北京将做好核酸检测医保支付工作 6月27日，北京市政府新闻发言人徐和建介绍：北京将加强核酸检测的价格管理，完善检测项目价格政策，做好医保支付工作。,祝加贝 ,0
北京26日新增确诊病例17例，已完成16例流调,2020-06-27,北京日报客户端,原标题：北京昨天新增确诊病例17例，已完成16例流调 27日下午，在北京市新型冠状病毒肺炎疫情防控工作第134场新闻发布会上，市疾控中心副主任庞星火通报了新增确诊病例相关情况。 6月26日0时至24时，北京市新增新冠肺炎确诊病例17例，其中男性11例，女性6例；平均年龄40岁，最小23岁，最大55岁；按居住地划分，丰台区15例、大兴区2例。已完成16例确诊病例调查，1例正在调查中。,祝加贝 ,472
北京26日新增17例确诊中15例在丰台,2020-06-27,央视,原标题：北京昨日新增17例确诊中15例在丰台 北京市疾控中心副主任庞星火：6月26日0时至24时，#北京新增17例确诊#，其中男性11例，女性6例，平均年龄40岁，最小23岁，最大55岁。按居住地划分，丰台区15例，大兴区2例，已完成16例确诊病例流行病学调查，1例正在调查中。,祝加贝 ,73
